pillar,model,processed_cv
SigLIP-Advanced,cat_seed0,0.776283
SigLIP-Advanced,svr_seed0,0.804977
SigLIP-Advanced,xgb_seed0,0.76734
SigLIP-Advanced,bayes_ridge,0.763594
SigLIP-Advanced,elastic_net,0.726901
SigLIP-Advanced,extra_trees,0.760978
SigLIP-Advanced,xgb_seed1,0.765183
SigLIP-Advanced,svr_seed1,0.804977
SigLIP-Advanced,cat_seed1,0.774134
SigLIP-Advanced,ridge_seed0,0.767707
SigLIP-Advanced,ridge_seed1,0.766353
SigLIP-Advanced,elastic_net_seed1,0.738332
SigLIP-Advanced,ridge_meta,0.841764
SigLIP-Legacy,gb,0.737489
SigLIP-Legacy,hgb,0.744403
SigLIP-Legacy,cat,0.766662
SigLIP-Legacy,lgbm,0.745416
Dinov2-L,dinov2_cat,0.71746
Dinov2-L,dinov2_xgb,0.688124
Dinov2-L,dinov2_lgbm,0.692883
Dinov2-L,dinov2_lasso,0.607364
Dinov2-L,dinov2_ridge_meta,0.758225
Dinov2-L,dinov2_blended,0.754035
